x,f(x),evenly_spaced_n10,evenly_spaced_n10_absolute_error,chebyshev_n10,chebyshev_n10_absolute_error,evenly_spaced_n20,evenly_spaced_n20_absolute_error,chebyshev_n20,chebyshev_n20_absolute_error
-4.499999999999999556e-01,1.568312185490168709e+00,1.542529256715971853e+00,2.578292877419685603e-02,1.591521829127286569e+00,2.320964363711786049e-02,1.541794242776444168e+00,2.651794271372454048e-02,1.571105037586378206e+00,2.792852096209497148e-03
-4.399999999999999467e-01,1.552707218511335974e+00,1.531779068970223090e+00,2.092814954111288372e-02,1.577451233312314294e+00,2.474401480097832007e-02,1.529168889757209326e+00,2.353832875412664727e-02,1.553808421795482175e+00,1.101203284146201611e-03
-4.299999999999999378e-01,1.537257523548281268e+00,1.521451074344400078e+00,1.580644920388118990e-02,1.563207697472180913e+00,2.595017392389964428e-02,1.518518281228679712e+00,1.873924231960155673e-02,1.536543948775502155e+00,7.135747727791130757e-04
-4.200000000000000400e-01,1.521961555618633888e+00,1.511426018369036672e+00,1.053553724959721549e-02,1.548766247924382666e+00,2.680469230574877848e-02,1.509184455720188556e+00,1.277709989844533212e-02,1.519403751292960569e+00,2.557804325673318502e-03
-4.100000000000000311e-01,1.506817785112853691e+00,1.501587731839660211e+00,5.230053273193480123e-03,1.534106086747546227e+00,2.728830163469253556e-02,1.500496451250709296e+00,6.321333862144395965e-03,1.502482945922224866e+00,4.334839190628825278e-03
-4.000000000000000222e-01,1.491824697641270348e+00,1.491824697641270348e+00,0.000000000000000000e+00,1.519210781462239312e+00,2.738608382096896499e-02,1.491824697641270570e+00,2.220446049250313081e-16,1.485874937272910978e+00,5.949760368359369167e-03
-3.900000000000000133e-01,1.476980793882642695e+00,1.482031468567241328e+00,5.050674684598632780e-03,1.504068411935371552e+00,2.708761805272885681e-02,1.482625183116127454e+00,5.644389233484758961e-03,1.469666835543439687e+00,7.313958339203008308e-03
-3.800000000000000044e-01,1.462284589434224458e+00,1.472109931640099401e+00,9.825342205874942891e-03,1.488671674984138660e+00,2.638708554991420208e-02,1.472471726171651119e+00,1.018713673742666082e-02,1.453935184701032224e+00,8.349404733192233863e-03
-3.699999999999999956e-01,1.447734614663324537e+00,1.461970416056191491e+00,1.423580139286695356e-02,1.473017947416392470e+00,2.528333275306793304e-02,1.461075674991824336e+00,1.334106032849979862e-02,1.438742179533359034e+00,8.992435129965503648e-03
-3.599999999999999867e-01,1.433329414560340132e+00,1.451532643380649246e+00,1.820322882030911416e-02,1.457109308485293075e+00,2.377989392495294396e-02,1.448293248830896607e+00,1.496383427055647530e-02,1.424132524718677351e+00,9.196889841662780896e-03
-3.499999999999999778e-01,1.419067548593257122e+00,1.440726520015884526e+00,2.165897142262740438e-02,1.440952522957606563e+00,2.188497436434944099e-02,1.434121494146721076e+00,1.505394555346395435e-02,1.410131059176343626e+00,8.936489416913495631e-03
-3.399999999999999689e-01,1.404947590563593751e+00,1.429492773258962623e+00,2.454518269536887232e-02,1.424558986197643096e+00,1.961139563404934449e-02,1.418684430090413340e+00,1.373683952681958864e-02,1.396741235625022393e+00,8.206354938571358559e-03
-3.299999999999999600e-01,1.390968128463780262e+00,1.417783433453207564e+00,2.681530498942730212e-02,1.407944632852944800e+00,1.697650438916453730e-02,1.402211391590686196e+00,1.124326312690593355e-02,1.383944509859965200e+00,7.023618603815062755e-03
-3.199999999999999512e-01,1.377127764335956961e+00,1.405562165830116506e+00,2.843440149415954465e-02,1.391129810894000007e+00,1.400204655804304643e-02,1.385009842086532661e+00,7.882077750575700037e-03,1.371700658116913774e+00,5.427106219043187352e-03
-3.099999999999999423e-01,1.363425114132177818e+00,1.392804456631728582e+00,2.937934249955076460e-02,1.374139122909001420e+00,1.071400877682360253e-02,1.367435029006331071e+00,4.009914874153253095e-03,1.359949005316389625e+00,3.476108815788192530e-03
-2.999999999999999334e-01,1.349858807576002961e+00,1.379497659003795063e+00,2.963885142779210113e-02,1.357001236686357970e+00,7.142429110355008604e-03,1.349858807576002961e+00,0.000000000000000000e+00,1.348610513183462700e+00,1.248294392540261200e-03
-2.900000000000000355e-01,1.336427488025472066e+00,1.365640904959134261e+00,2.921341693366219516e-02,1.339748667232937285e+00,3.321179207465219108e-03,1.332639782245202520e+00,3.787705780269545741e-03,1.337590646296180186e+00,1.163158270708120057e-03
-2.800000000000000266e-01,1.323129812337436872e+00,1.351244890431120504e+00,2.811507809368363198e-02,1.322417532475261837e+00,7.122798621750359160e-04,1.316096633694030515e+00,7.033178643406357011e-03,1.326782906963360542e+00,3.653094625923669625e-03
